1704.10.00,841,HAPPY BOL CHICLETE MELANCIA 140G ,"0,0000"
1704.10.00,839,HAPPY BOL CHICLETE MORANGO ÁCIDO 140G,"0,0000"
1704.10.00,843,HAPPY BOL CHICLETE TUTTI FRUTTI 140G,"0,0000"
1704.10.00,848,HAPPY BOL TUTTI FRUTTI SUSTO 140G ,"0,0000"
1806.31.10,858,LACTA BIS BRANCO 126G ,"0,0000"
1806.31.10,859,LACTA BIS ORIGINAL 126G ,"0,0000"
1704.90.90,793,MARIA MOLE DOCES PRINCESA 140G,"0,0000"
1806.31.10,889,NESTLÉ ALPINO 25G,"0,0000"
1806.31.10,563,NESTLÉ BARRA ALPINO 85G,"0,0000"
1806.31.10,861,NESTLÉ BARRA CLASSIC 80G ,"0,0000"
1806.31.10,862,NESTLÉ BARRA CRUNCH 80G ,"0,0000"
1806.31.10,860,NESTLÉ BARRA GALAK CHOCOLATE BRANCO 80G ,"0,0000"
1806.31.10,891,NESTLÉ CLASSIC 25G,"0,0000"
1806.31.10,890,NESTLÉ CRUNCH 25G,"0,0000"
1806.31.10,896,NESTLÉ GALAK 25G,"0,0000"
1806.31.10,856,NUCITA CHOCOLATE 200G ,"0,0000"
1905.90.90,925,ONION CEBOLA 200G ,"0,0000"
1704.90.90,764,PAÇOCA ROLHA DOCES CARIJÓ 450G,"0,0000"
1905.90.20,985,PALITO DE CHOCOLATE DOCES PRINCESA 300G,"0,0000"
1704.90.90,768,PÉ DE MOLEQUE DOCES CARIJÓ 200G,"0,0000"
1704.90.90,765,PÉ DE MOLEQUE DOCES CARIJÓ 415G,"0,0000"
1905.90.90,983,PIPOTECA CEBOLA 110G ,"0,0000"
1905.90.90,528,PIPOTECA MILHO VERDE 120G,"0,0000"
1905.90.90,982,PIPOTECA ORIGINAL 110G,"0,0000"
1905.90.90,531,PIPOTECA PIZZA 110G ,"0,0000"
1704.90.20,1140,PIRULITO PACOTE,"0,0000"
1905.90.90,941,POLVILHO CEBOLA TEMABI COLONIAL 80G ,"0,0000"
1905.90.90,940,POLVILHO QUEIJO TEMABI COLONIAL 80G ,"0,0000"
3924.10.00,536,PROMOPACK JAPONES ELMACHIPS 145G ,"0,0000"
1905.90.20,991,ROMEU E JULIETA DOCES PRINCESA 250G,"0,0000"
2007.99.90,1325,SALGADINHO,"0,0000"
2007.99.90,699,SALGADINHO 1X12,"0,0000"
2007.99.90,704,SALGADINHO 2X12,"0,0000"
1905.90.90,1207,SALGADINHO 3X12,"0,0000"
2007.99.90,710,SALGADINHO 4X12,"0,0000"
2007.99.90,723,SALGADINHO 5 POR 12,"0,0000"
2007.99.90,712,SALGADINHO 6X12,"0,0000"
1905.90.90,980,SALGADINHO BACON TORCIDA 38G,"0,0000"
1905.90.90,960,SALGADINHO BATATA CEBOLA E SALSA FREETAZ WAY 45G ,"0,0000"
1905.90.90,1007,SALGADINHO BATATA CHIPS FRANGO GRELHADO WANFLO 40G,"0,0000"
1905.90.90,1008,SALGADINHO BATATA CHIPS KETCHUP WANFLO 40G,"0,0000"
1905.90.90,961,SALGADINHO BATATA CHURRASCO FREETAZ WAY 45G ,"0,0000"
1905.90.90,1020,SALGADINHO BATATA ONDULADA  CHURRASCO WANFLO 40G,"0,0000"
1905.90.90,1005,SALGADINHO BATATA ONDULADA ORIGINAL WANFLO 40G,"0,0000"
1905.90.90,968,SALGADINHO BATATA ORIGINAL C/ SAL FREETAZ WAY 45G,"0,0000"
1905.90.90,1102,SALGADINHO BATATA WAFFLE ORIGINAL WANFLO 40G,"0,0000"
1905.90.90,27,SALGADINHO CALABRESA TORCIDA 38G ,"39,827"
1905.90.90,207,SALGADINHO CAMARÃO C/ PIMENTA TORCIDA 38G,"0,0000"
1905.90.90,959,SALGADINHO CEBOLA KRÓ 100G,"0,0000"
1905.90.90,978,SALGADINHO CEBOLA TORCIDA 38G ,"0,0000"
1905.90.90,984,SALGADINHO CHURRASCO KRÓ 100G ,"0,0000"
1905.90.90,971,SALGADINHO CHURRASCO TORCIDA 38G ,"0,0000"
1905.90.90,981,SALGADINHO COSTELINHA C/ LIMÃO TORCIDA 38G,"0,0000"
1905.90.90,933,SALGADINHO DE MILHO BACON MAIS KRÓ 200G,"0,0000"
1905.90.90,976,SALGADINHO PÃO DE ALHO TORCIDA 38G,"0,0000"
1905.90.90,970,SALGADINHO PIMENTA MEXINA TORCIDA 38G ,"0,0000"
1905.90.90,958,SALGADINHO PRESUNTO KRÓ 100G,"0,0000"
1905.90.90,955,SALGADINHO QUEIJO KRÓ 100G,"0,0000"
1905.90.90,977,SALGADINHO QUEIJO TORCIDA 38G ,"0,0000"
1905.90.90,956,SALGADINHO REQUEIJÃO KRÓ 100G ,"0,0000"
1905.90.90,972,SALGADINHO VINAGRETE TORCIDA 38G ,"0,0000"
2007.99.90,778,SORVETE SECO DOCES PRINCESA 120G,"0,0000"
2202.10.00,194,SPRITE 350ML ,"0,0000"
2202.10.00,200,SPRITE 600ML,"0,0000"
1904.10.00,546,SUCRILHOS CHOCO BOLL ALFAFOODS 60G,"0,0000"
1904.10.00,537,SUCRILHOS CHOCO CORN ALCAFOODS 60GW,"0,0000"
1904.10.00,552,SUCRILHOS CORN SUGAR ALFAFOODS 60G,"0,0000"
1904.10.00,549,SUCRILHOS FRUIT RINGS ALFAFOODS 60G,"0,0000"
1704.90.90,790,SUSPIRO DOCES PRINCESA 125G ,"0,0000"
1806.90.00,1011,TODDYNHO ,"0,0000"
2202.10.00,195,TONICA ANTARCTICA 350ML,"0,0000"
1704.90.90,874,TORRONE AMENDOIM C/ MEL DE ABELHA DOCES CARIJÓ 140G,"0,0000"
1704.90.90,870,TORRONE AMENDOIM C/ WAFER DOCES CARIJÓ 150G,"0,0000"
